code	in_dalarna_excel	in_blomma_json	in_vault
FI1039	1	1	1
FI1040	1	1	1
FI2003	1	1	1
FMI2222	1	1	0
FMI2223	1	1	0
FMI2224	1	1	0
FMI2229	1	1	0
FPA0001	1	1	0
FPA0002	1	1	0
FPA0003	1	1	0
FPA0004	1	1	0
FPA0005	1	1	0
FPA0006	1	1	0
FPA0007	1	1	0
FPA2226	1	1	0
FPA2227	1	1	0
FPA2228	1	1	0
FPA222A	1	1	0
FPA222B	1	1	0
FPA222C	1	1	0
FPA222D	1	1	0
FPA222E	1	1	0
FPA222F	1	1	0
FPA222G	1	1	0
FPA222J	1	1	0
FPA222N	1	1	0
FR3022	1	1	1
FVV222H	1	1	0
FY1018	1	1	1
FÖ1041	1	1	0
FÖ1042	1	1	0
FÖ2024	1	1	0
FÖ2026	1	1	0
FÖ2032	1	1	0
FÖ3032	1	1	0
FÖ3034	1	1	0
FÖ3035	1	1	0
FÖ3036	1	1	0
FÖ3040	1	1	0
FÖ3042	1	1	0
FÖ3043	1	1	0
GAB24E	1	1	1
GAB24F	1	1	1
GAB26D	1	1	1
GAB2AJ	1	1	1
GAB2CC	1	1	1
GAB2P6	1	1	1
GAB2S5	1	1	1
GAB2TR	1	1	1
GAB358	1	1	1
GAB3AK	1	1	1
GAB3AL	1	1	1
GAB3FZ	1	1	1
GAB3G2	1	1	1
GAB3G3	1	1	1
GAB3H4	1	1	1
GAB3H5	1	1	1
GAB3H6	1	1	1
GAB3H7	1	1	1
GAB3HQ	1	1	1
GAB3HR	1	1	1
GAB3HS	1	1	1
GAB3HV	1	1	1
GAR2HR	1	1	1
GAR2HS	1	1	1
GAR2SQ	1	1	1
GAR2VU	1	1	1
GAR34X	1	1	1
GAR38K	1	1	1
GAR38L	1	1	1
GAR38M	1	1	1
GAR38N	1	1	1
GAR39K	1	1	1
GAR39L	1	1	1
GAR39M	1	1	1
GBP32U	1	1	1
GBP32V	1	1	1
GBP32W	1	1	1
GBP34H	1	1	1
GBP365	1	1	1
GBP3BB	1	1	1
GBP3BC	1	1	1
GBQ22U	1	1	1
GBQ24C	1	1	1
GBQ27K	1	1	1
GBQ29D	1	1	1
GBQ29E	1	1	1
GBQ2AY	1	1	1
GBQ2AZ	1	1	1
GBQ2EB	1	1	1
GBQ2EC	1	1	1
GBQ2HC	1	1	1
GBQ2HD	1	1	1
GBQ2MT	1	1	1
GBQ2NH	1	1	1
GBQ2NJ	1	1	1
GBQ2NM	1	1	1
GBQ2NP	1	1	1
GBQ2QB	1	1	1
GBQ2U2	1	1	1
GBQ2U3	1	1	1
GBQ2U4	1	1	1
GBQ2U5	1	1	1
GBQ2U6	1	1	1
GBQ2U7	1	1	1
GBQ2U8	1	1	1
GBQ2U9	1	1	1
GBQ2UB	1	1	1
GBQ2UD	1	1	1
GBQ2UN	1	1	1
GBQ2WG	1	1	1
GBQ2WH	1	1	1
GBQ2WJ	1	1	1
GBQ2WK	1	1	1
GBQ2XC	1	1	1
GBQ2XD	1	1	1
GBQ35K	1	1	1
GBQ36D	1	1	1
GBQ36E	1	1	1
GBQ36K	1	1	1
GBQ38V	1	1	1
GBQ38W	1	1	1
GBQ38X	1	1	1
GBQ3A5	1	1	1
GBQ3A6	1	1	1
GBQ3A7	1	1	1
GBQ3A8	1	1	1
GBQ3A9	1	1	1
GBQ3AA	1	1	1
GBQ3AV	1	1	1
GBQ3AW	1	1	1
GBQ3FG	1	1	1
GBY2GB	1	1	1
GBY2GC	1	1	1
GBY2GR	1	1	1
GBY2J2	1	1	1
GBY2MA	1	1	1
GBY2MB	1	1	1
GBY2ME	1	1	1
GBY2NF	1	1	1
GBY2NG	1	1	1
GBY2RN	1	1	1
GBY2RX	1	1	1
GBY2V5	1	1	1
GBY2V6	1	1	1
GBY2V8	1	1	1
GBY2VR	1	1	1
GBY2XF	1	1	1
GBY33L	1	1	1
GBY342	1	1	1
GBY34B	1	1	1
GBY34M	1	1	1
GBY34N	1	1	1
GBY36S	1	1	1
GBY37D	1	1	1
GBY38D	1	1	1
GBY38E	1	1	1
GBY3AX	1	1	1
GBY3DW	1	1	1
GBY3DX	1	1	1
GDT2JM	1	1	1
GDT2JN	1	1	1
GDT34Z	1	1	1
GDT3CR	1	1	1
GEG26J	1	1	1
GEG2JP	1	1	1
GEG2UE	1	1	1
GEG2UL	1	1	1
GEG2ZQ	1	1	1
GEG2ZR	1	1	1
GEG33A	1	1	1
GEG33B	1	1	1
GEG38F	1	1	1
GEG39Y	1	1	1
GEG39Z	1	1	1
GEG3A2	1	1	1
GEG3BX	1	1	1
GEG3DT	1	1	1
GEG3DU	1	1	1
GEG3DV	1	1	1
GEG3FM	1	1	1
GEG3FY	1	1	1
GEN222	1	1	1
GEN28Q	1	1	1
GEN2BJ	1	1	1
GEN2BK	1	1	1
GEN2HB	1	1	1
GEN2JG	1	1	1
GEN2LD	1	1	1
GEN2QW	1	1	1
GEN2RZ	1	1	1
GEN2S2	1	1	1
GEN2VE	1	1	1
GEN2VF	1	1	1
GEN33R	1	1	1
GEN35D	1	1	1
GEN35G	1	1	1
GEN379	1	1	1
GEN37A	1	1	1
GEN3BQ	1	1	1
GEN3BR	1	1	1
GEN3C5	1	1	1
GEN3CM	1	1	1
GEN3DG	1	1	1
GEN3DH	1	1	1
GEN3DJ	1	1	1
GEN3DK	1	1	1
GEN3E6	1	1	1
GEN3E7	1	1	1
GEN3K3	0	0	1
GET36T	1	1	1
GEU2CA	1	1	1
GEU2CB	1	1	1
GEU2KV	1	1	1
GEU2KW	1	1	1
GEU2KX	1	1	1
GEU2QY	1	1	1
GEU35L	1	1	1
GEU35M	1	1	1
GEU35N	1	1	1
GEU38C	1	1	1
GEU3DB	1	1	1
GFI282	1	1	1
GFI293	1	1	1
GFI37Z	1	1	1
GFI3BT	1	1	1
GFI3BU	1	1	1
GFR27N	1	1	1
GFR27Q	1	1	1
GFR27R	1	1	1
GFR27S	1	1	1
GFR283	1	1	1
GFR2A7	1	1	1
GFR2A8	1	1	1
GFR2AB	1	1	1
GFR2HW	1	1	1
GFR2HX	1	1	1
GFR2HY	1	1	1
GFR2HZ	1	1	1
GFR2KQ	1	1	1
GFR2KR	1	1	1
GFR2R3	1	1	1
GFR2R4	1	1	1
GFR2W9	1	1	1
GFR2WA	1	1	1
GFR2YU	1	1	1
GFR35E	1	1	1
GFR35F	1	1	1
GFR3BS	1	1	1
GFR3CV	1	1	1
GFR3CW	1	1	1
GFR3CX	1	1	1
GFR3CY	1	1	1
GFR3CZ	1	1	1
GFR3D2	1	1	1
GFR3D3	1	1	1
GFR3DL	1	1	1
GFR3GS	1	1	1
GFR3GT	1	1	1
GFR3HK	1	1	1
GFR3HL	1	1	1
GFR3HM	1	1	1
GFR3HN	1	1	1
GFY345	1	1	1
GFÖ225	1	1	0
GFÖ2B7	1	1	0
GFÖ2B9	1	1	0
GFÖ2F4	1	1	0
GFÖ2FF	1	1	0
GFÖ2JU	1	1	0
GFÖ2PJ	1	1	0
GFÖ2RL	1	1	0
GFÖ2UF	1	1	0
GFÖ2WE	1	1	0
GFÖ2WN	1	1	0
GFÖ2WQ	1	1	0
GFÖ2XB	1	1	0
GFÖ2XW	1	1	0
GFÖ32F	1	1	0
GFÖ32P	1	1	0
GFÖ35C	1	1	0
GFÖ35J	1	1	0
GFÖ36L	1	1	0
GFÖ38U	1	1	0
GFÖ398	1	1	0
GFÖ39A	1	1	0
GFÖ39J	1	1	0
GFÖ3FH	1	1	0
GFÖ3FJ	1	1	0
GFÖ3GL	1	1	0
GFÖ3JM	1	1	0
GFÖ3JN	1	1	0
GHI29Y	1	1	1
GHI2CK	1	1	1
GHI2CN	1	1	1
GHI2CP	1	1	1
GHI2CQ	1	1	1
GHI2CR	1	1	1
GHI2FU	1	1	1
GHI2Q6	1	1	1
GHI32G	1	1	1
GHI33T	1	1	1
GHI33V	1	1	1
GHI33W	1	1	1
GHI35A	1	1	1
GHI362	1	1	1
GHI374	1	1	1
GHI378	1	1	1
GHI37M	1	1	1
GHI38Q	1	1	1
GHI3CP	1	1	1
GHI3JX	0	0	1
GIE26L	1	1	1
GIE26M	1	1	1
GIE26N	1	1	1
GIE26P	1	1	1
GIE29N	1	1	1
GIE2L7	1	1	1
GIE2MF	1	1	1
GIE2QS	1	1	1
GIE2RF	1	1	1
GIE36Y	1	1	1
GIE36Z	1	1	1
GIE372	1	1	1
GIE3FW	1	1	1
GIE3H2	1	1	1
GIE3HX	1	1	1
GIE3HY	1	1	1
GIE3JG	1	1	1
GIE3JH	1	1	1
GIE3JS	0	0	1
GIE3JW	0	0	1
GIH24A	1	1	1
GIH2A6	1	1	1
GIH2D4	1	1	1
GIH2D5	1	1	1
GIH2D6	1	1	1
GIH2D7	1	1	1
GIH2D8	1	1	1
GIH2D9	1	1	1
GIH2DB	1	1	1
GIH2DC	1	1	1
GIH2DD	1	1	1
GIH2DE	1	1	1
GIH2G4	1	1	1
GIH2LP	1	1	1
GIH2LT	1	1	1
GIH2LU	1	1	1
GIH2LV	1	1	1
GIH2LW	1	1	1
GIH2LX	1	1	1
GIH2LY	1	1	1
GIH2M4	1	1	1
GIH2M5	1	1	1
GIH2M6	1	1	1
GIH2NR	1	1	1
GIH2QK	1	1	1
GIH2QL	1	1	1
GIH2UR	1	1	1
GIH2UY	1	1	1
GIH2VJ	1	1	1
GIH2VK	1	1	1
GIH2WT	1	1	1
GIH2WU	1	1	1
GIH2WX	1	1	1
GIH2WY	1	1	1
GIH2X3	1	1	1
GIH2XY	1	1	1
GIH2ZA	1	1	1
GIH2ZB	1	1	1
GIH2ZC	1	1	1
GIH2ZD	1	1	1
GIH2ZE	1	1	1
GIH32Z	1	1	1
GIH334	1	1	1
GIH335	1	1	1
GIH33J	1	1	1
GIH33K	1	1	1
GIH33P	1	1	1
GIH34D	1	1	1
GIH34S	1	1	1
GIH34T	1	1	1
GIH34U	1	1	1
GIH34V	1	1	1
GIH35B	1	1	1
GIH35P	1	1	1
GIH35T	1	1	1
GIH35U	1	1	1
GIH35V	1	1	1
GIH35W	1	1	1
GIH35Z	1	1	1
GIH37B	1	1	1
GIH37C	1	1	1
GIH37N	1	1	1
GIH37P	1	1	1
GIH37Q	1	1	1
GIH37R	1	1	1
GIH37S	1	1	1
GIH38Y	1	1	1
GIH38Z	1	1	1
GIH392	1	1	1
GIH393	1	1	1
GIH394	1	1	1
GIH395	1	1	1
GIH39B	1	1	1
GIH39C	1	1	1
GIH39D	1	1	1
GIH39E	1	1	1
GIH39F	1	1	1
GIH39G	1	1	1
GIH39H	1	1	1
GIH3AM	1	1	1
GIH3AN	1	1	1
GIH3AP	1	1	1
GIH3AQ	1	1	1
GIH3C2	1	1	1
GIH3CS	1	1	1
GIH3D4	1	1	1
GIH3D5	1	1	1
GIH3D6	1	1	1
GIH3F4	1	1	1
GIH3F5	1	1	1
GIH3F7	1	1	1
GIH3F8	1	1	1
GIH3F9	1	1	1
GIH3FA	1	1	1
GIH3FD	1	1	1
GIH3FF	1	1	1
GIH3G4	1	1	1
GIH3G5	1	1	1
GIH3G6	1	1	1
GIH3G7	1	1	1
GIH3G8	1	1	1
GIH3G9	1	1	1
GIH3GA	1	1	1
GIH3GB	1	1	1
GIH3GC	1	1	1
GIH3GD	1	1	1
GIH3GE	1	1	1
GIH3GF	1	1	1
GIH3GG	1	1	1
GIH3GH	1	1	1
GIH3GJ	1	1	1
GIH3GK	1	1	1
GIH3JL	1	1	1
GIK23M	1	1	1
GIK289	1	1	1
GIK28T	1	1	1
GIK299	1	1	1
GIK29B	1	1	1
GIK2AL	1	1	1
GIK2BD	1	1	1
GIK2FB	1	1	1
GIK2JX	1	1	1
GIK2KM	1	1	1
GIK2LF	1	1	1
GIK2NV	1	1	1
GIK2NX	1	1	1
GIK2PB	1	1	1
GIK2PD	1	1	1
GIK2PF	1	1	1
GIK2PG	1	1	1
GIK2Q3	1	1	1
GIK2QZ	1	1	1
GIK2UK	1	1	1
GIK2V4	1	1	1
GIK2XJ	1	1	1
GIK2XK	1	1	1
GIK2XZ	1	1	1
GIK2YK	1	1	1
GIK2YL	1	1	1
GIK2YN	1	1	1
GIK2YP	1	1	1
GIK2YR	1	1	1
GIK32J	1	1	1
GIK32K	1	1	1
GIK32L	1	1	1
GIK32M	1	1	1
GIK32N	1	1	1
GIK339	1	1	1
GIK346	1	1	1
GIK347	1	1	1
GIK348	1	1	1
GIK34Y	1	1	1
GIK36Q	1	1	1
GIK36R	1	1	1
GIK373	1	1	1
GIK375	1	1	1
GIK376	1	1	1
GIK377	1	1	1
GIK38G	1	1	1
GIK38H	1	1	1
GIK38J	1	1	1
GIK3BV	1	1	1
GIK3BY	1	1	1
GIT247	1	1	1
GIT26V	1	1	1
GIT26W	1	1	1
GIT2A3	1	1	1
GIT2AE	1	1	1
GIT2GV	1	1	1
GIT2GW	1	1	1
GIT2T6	1	1	1
GIT2TD	1	1	1
GIT2TE	1	1	1
GIT2TF	1	1	1
GIT2TG	1	1	1
GIT2TH	1	1	1
GIT2TJ	1	1	1
GIT2TK	1	1	1
GIT2TL	1	1	1
GIT2TM	1	1	1
GIT2TN	1	1	1
GIT2TP	1	1	1
GIT2TQ	1	1	1
GIT2Y8	1	1	1
GIT2Y9	1	1	1
GIT2YA	1	1	1
GIT2YB	1	1	1
GIT2YC	1	1	1
GIT2YD	1	1	1
GIT2YE	1	1	1
GIT397	1	1	1
GJP23L	1	1	1
GJP23S	1	1	1
GJP242	1	1	1
