kurskod,kursnamn,institution,amne,i_dalarna_excel_kurser,i_dalarna_excel_forskar,i_blomma_json,i_vault_aktiva,i_vault_nedlagda,kategori
AAR29B,Interkulturella litteraturstudier: Magisterexamensarbete,ISLL,ARA,1,0,1,1,0,triangulerad
AB1001,,,,0,0,0,0,1,enbart_nedlagd
AB1002,,,,0,0,0,0,1,enbart_nedlagd
AB1003,,,,0,0,0,0,1,enbart_nedlagd
AB1004,,,,0,0,0,0,1,enbart_nedlagd
AB1005,Professionell förhandling på arbetsplatsen,IKS,ABA,1,0,1,1,0,triangulerad
AB1006,Professionell kommunikation - med och i grupper,IKS,ABA,1,0,1,1,0,triangulerad
AB1007,,,,0,0,0,0,1,enbart_nedlagd
AB1008,,,,0,0,0,0,1,enbart_nedlagd
AB1009,Perspektiv på utvecklingsarbete i arbetslivet,IKS,ABA,1,0,1,1,0,triangulerad
AB1010,,,,0,0,0,0,1,enbart_nedlagd
AB1011,Kommunikation och ledarskap för tekniker,IKS,ABA,1,0,1,1,0,triangulerad
AB1012,,,,0,0,0,0,1,enbart_nedlagd
AB1013,,,,0,0,0,0,1,enbart_nedlagd
AB1014,Ledarskap för ökat resultat i företaget,IKS,ABA,1,0,1,1,0,triangulerad
AB1015,Verksamhetsutveckling genom ordning och reda på arbetsplatsen,IKS,ABA,1,0,1,1,0,triangulerad
AB1016,Arbetsmiljö - grundkurs,IKS,ABA,1,0,1,1,0,triangulerad
AB1017,,,,0,0,0,0,1,enbart_nedlagd
AB1018,,,,0,0,0,0,1,enbart_nedlagd
AB1019,Att vara chef i kommunal verksamhet,IKS,ABA,1,0,1,1,0,triangulerad
AB1020,,,,0,0,0,0,1,enbart_nedlagd
AB1021,,,,0,0,0,0,1,enbart_nedlagd
AB1022,Rekrytering - krav och kriterier,IKS,ABA,1,0,1,1,0,triangulerad
AB1023,,,,0,0,0,0,1,enbart_nedlagd
AB1024,Kreativitet - vägen till en bärande idé,IKS,ABA,1,0,1,1,0,triangulerad
AB1025,Ledarskap för effektivt samarbete,IKS,ABA,1,0,1,1,0,triangulerad
AB1026,Personligt ledarskap,IKS,ABA,1,0,1,1,0,triangulerad
AB1027,Ledarskap för ökat resultat,IKS,ABA,1,0,1,1,0,triangulerad
AB1028,Ledarskap för att motivera grupper,IKS,ABA,1,0,1,1,0,triangulerad
AB1029,Introduktion till Professionell kommunikation - mer än bara samtal,IKS,ABA,1,0,1,1,0,triangulerad
AB1030,Att arbeta i projekt,IKS,ABA,1,0,1,1,0,triangulerad
AB1031,Professionell utveckling - genom fokus på kollektivt lärande,IKS,ABA,1,0,1,1,0,triangulerad
AB1032,Personligt ledarskap,IKS,ABA,1,0,1,1,0,triangulerad
AB1033,"Bemöta, bedöma, berika: Ett normkritiskt perspektiv på genus och mångfald för utveckling och innovation i företag",IKS,ABA,1,0,1,1,0,triangulerad
AB3001,Lärande utvärdering/följeforskning av utvecklingsprojekt,IKS,ABA,1,0,1,1,0,triangulerad
ABP22A,,,,0,0,0,0,1,enbart_nedlagd
ABP253,"Examensarbete i bild för ämneslärarexamen, inriktning grundskolans årskurs 7-9",IKS,BIL,1,0,1,1,0,triangulerad
ABP254,"Examensarbete i bild för ämneslärarexamen, inriktning gymnasieskolan",IKS,BIL,1,0,1,1,0,triangulerad
ABQ2AM,Kreativ kodning,IKS,BPO,1,0,1,1,0,triangulerad
ABQ2AZ,Audiovisuella produktionsprocesser,IKS,BPO,1,0,1,1,0,triangulerad
ABQ2B2,Audiovisuella studier: Kunskapsproduktion genom gestaltning,IKS,BPO,1,0,1,1,0,triangulerad
ABQ2B3,Introduktion till magisterexamensarbete i Audiovisuella studier,IKS,BPO,1,0,1,1,0,triangulerad
ABQ2B4,Magisterexamensarbete i Audiovisuella studier,IKS,BPO,1,0,1,1,0,triangulerad
ABY223,,,,0,0,0,0,1,enbart_nedlagd
ABY226,,,,0,0,0,0,1,enbart_nedlagd
ABY22U,,,,0,0,0,0,1,enbart_nedlagd
ABY22V,Energieffektiva installationssystem,IIT,BYA,1,0,1,1,0,triangulerad
ABY22W,Byggnaders energiprestanda - simulering och analys,IIT,BYA,1,0,1,1,0,triangulerad
ABY27W,Introduktion till bioklimatisk design,IIT,BYA,1,0,1,1,0,triangulerad
ABY2BL,Hållbar samhällsplanering,IIT,BYA,1,0,1,1,0,triangulerad
ADT22Y,,,,0,0,1,0,1,blomma_historik_arkiverad
AEG225,Solenergins ekonomi,IIT,MÖY,1,0,1,1,0,triangulerad
AEG22R,Tillämpad solenergiteknik,IIT,MÖY,1,0,1,1,0,triangulerad
AEG233,Solel,IIT,MÖY,1,0,1,1,0,triangulerad
AEG234,,,,0,0,0,0,1,enbart_nedlagd
AEG23H,,,,0,0,0,0,1,enbart_nedlagd
AEG26X,Design av PV- och hybridsystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG294,Energipositiva stadsdelar,IIT,MÖY,1,0,1,1,0,triangulerad
AEG29N,Solcellsteknik,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AK,Projektkurs 1 - dataanalys för solenergisystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AL,Solcellsteknik,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AN,,,,0,0,0,0,1,enbart_nedlagd
AEG2AP,Solenergins ekonomi och förvaltning av solcellssystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AQ,Samhällets energiomställning,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AR,Elektrisk lagrings- och omvandlingsteknik,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AS,Design av hållbara värmesystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AT,Design av nätkopplade solcellssystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AU,Projektkurs 2 - mätsystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AV,Hållbarhet hos solenergisystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AW,Urbana energisystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AX,Elnätsintegrering av förnybar kraft,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2AY,Elektriska lagringssystem och tjänster,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2B5,Projektkurs 3 - grupprojekt och kommunikation,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2B6,Solstrålning och solgeometri,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2C4,Installation av solcellssystem och design av fristående system,IIT,MÖY,1,0,1,1,0,triangulerad
AEG2C5,Hållbara värmesystem,IIT,MÖY,1,0,1,1,0,triangulerad
AEN252,"Migration, klimat och ångest i engelskspråkig litteratur",ISLL,ENA,1,0,1,1,0,triangulerad
AEN25H,"Examensarbete i engelska för ämneslärarexamen, inriktning grundskolans årskurs 7-9",ISLL,ENA,1,0,1,1,0,triangulerad
AEN25J,"Examensarbete i engelska för ämneslärarexamen, inriktning gymnasieskolan",ISLL,ENA,1,0,1,1,0,triangulerad
AEN25S,Engelska: Litteratur och teori,ISLL,ENA,1,0,1,1,0,triangulerad
AEN26E,Engelska: Litteraturvetenskapligt skrivande,ISLL,ENA,1,0,1,1,0,triangulerad
AEN299,"Litteratur, censur och cancelkultur på engelska",ISLL,ENA,1,0,1,1,0,triangulerad
AEN29A,Konflikt och kreativitet i engelskspråkig litteratur,ISLL,ENA,1,0,1,1,0,triangulerad
AEN29C,Interkulturella litteraturstudier: Masterexamensarbete med inriktning engelska,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BP,Introduktion till interkulturella litteraturstudier,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BQ,Interkulturella litteraturstudier: Akademiskt skrivande,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BR,Interkulturella litteraturstudier: Akademisk läsning,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BS,Interkulturella litteraturstudier: Teori och metod,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BT,Interkulturella litteraturstudier: Skönlitteratur på originalspråk,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BU,Interkulturella litteraturstudier: Översättningsprojekt,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BV,Interkulturella litteraturstudier: Litteratur och genus - teori och kritik,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BW,Interkulturella litteraturstudier: Litteratur och politik i det samtida Afrika,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BX,Världslitteraturer: Asien och Europa,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BY,Världslitteraturer: Nord- och Sydamerika,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2BZ,Migrationslitteratur i dåtid och nutid,ISLL,ENA,1,0,1,1,0,triangulerad
AEN2C2,Interkulturella litteraturstudier: Masterexamensarbete,ISLL,ENA,1,0,1,1,0,triangulerad
AFI273,Humanvetenskapernas vetenskapsteori,IKS,FIA,1,0,1,1,0,triangulerad
AFR229,,,,0,0,0,0,1,enbart_nedlagd
AFR236,"Den fransktalande världen: Litteratur, kultur och översättning",ISLL,FRA,1,0,1,1,0,triangulerad
AFR24A,"Examensarbete i franska för ämneslärarexamen, inriktning grundskolans årskurs 7-9",ISLL,FRA,1,0,1,1,0,triangulerad
AFR24B,"Examensarbete i franska för ämneslärarexamen, inriktning gymnasieskolan",ISLL,FRA,1,0,1,1,0,triangulerad
AFR24Y,,,,0,0,0,0,1,enbart_nedlagd
AFR24Z,Franska: Argumentation och retorik,ISLL,FRA,1,0,1,1,0,triangulerad
AFR26Q,Franska IV: Franskspråkig litteraturkritik,ISLL,FRA,1,0,1,1,0,triangulerad
AFR26R,Franska IV: Språkvetenskap med fokus på språkinlärning,ISLL,FRA,1,0,1,1,0,triangulerad
AFR27P,Franska IV: Franskspråkig chanson i original och översättning,ISLL,FRA,1,0,1,1,0,triangulerad
AFR298,Franska: Sociala medier ur ett diskursanalytiskt perspektiv,ISLL,FRA,1,0,1,1,0,triangulerad
AFR29D,Interkulturella litteraturstudier: Masterexamensarbete med inriktning franska,ISLL,FRA,1,0,1,1,0,triangulerad
AFR2A8,"Franska IV: Talad franska; syntax, fonetik och perception",ISLL,FRA,1,0,1,1,0,triangulerad
AFT2C8,Forskningsmetodik och projektplan inför examensarbete för magisterexamen i fysioterapi,IHV,FYS,1,0,1,1,0,triangulerad
AFT2C9,Examensarbete för magisterexamen i fysioterapi,IHV,FYS,1,0,1,1,0,triangulerad
AFT2CA,Fysioterapi med fokus på långvarig smärta och hållbar utveckling,IHV,FYS,1,0,1,1,0,triangulerad
AFT2CB,Fysisk aktivitet som prevention och behandling,IHV,FYS,1,0,1,1,0,triangulerad
AFÖ26H,Examensarbete för magisterexamen i företagsekonomi,IKS,FÖA,1,0,1,1,0,triangulerad
AGG22E,,,,0,0,0,0,1,enbart_nedlagd
AGG22F,,,,0,0,0,0,1,enbart_nedlagd
AHI23V,"Examensarbete i historia för ämneslärarexamen, inriktning grundskolans årskurs 7-9",IKS,HIA,1,0,1,1,0,triangulerad
AHI23W,"Examensarbete i historia för ämneslärarexamen, inriktning gymnasieskolan",IKS,HIA,1,0,1,1,0,triangulerad
AHI263,Afrikanska studier: Islam och islamiska samhällen i Afrika,IKS,HIA,1,0,1,1,0,triangulerad
AHI26P,Afrikanska studier: Islam och islamiska samhällen i Afrika,IKS,HIA,1,0,1,1,0,triangulerad
AHI272,Afrikanska studier: Litteratur och politik i det samtida Afrika,IKS,HIA,1,0,1,1,0,triangulerad
AHI29P,"Examensarbete, magisterexamen i historia",IKS,HIA,1,0,1,1,0,triangulerad
AHI29Q,Historievetenskaplig litteraturkurs,IKS,HIA,1,0,1,1,0,triangulerad
AHI29R,Historievetenskapens teori och metod,IKS,HIA,1,0,1,1,0,triangulerad
AIH237,Examensarbete i idrott och hälsa för ämneslärarexamen inriktning grundskolans årskurs 7-9,IHV,IDA,1,0,1,1,0,triangulerad
AIH24T,Examensarbete i idrott och hälsa för ämneslärarexamen inriktning gymnasieskolan,IHV,IDA,1,0,1,1,0,triangulerad
AIK232,Data Warehousing,IIT,IKA,1,0,1,1,0,triangulerad
AJP23N,Introduktion till interkulturella litteraturstudier,ISLL,JAA,1,0,1,1,0,triangulerad
AJP23P,Interkulturella litteraturstudier: Akademiskt skrivande,ISLL,JAA,1,0,1,1,0,triangulerad
AJP23Q,Världslitteraturer: Asien och Europa,ISLL,JAA,1,0,1,1,0,triangulerad
AJP23R,Världslitteraturer: Nord- och Sydamerika,ISLL,JAA,1,0,1,1,0,triangulerad
AJP25X,Interkulturella litteraturstudier: Litteratur och genus - teori och kritik,ISLL,JAA,1,0,1,1,0,triangulerad
AJP25Y,,,,0,0,0,0,1,enbart_nedlagd
AJP264,Migrationslitteratur i dåtid och nutid,ISLL,JAA,1,0,1,1,0,triangulerad
AJP26Z,Interkulturella litteraturstudier: Litteratur och politik i det samtida Afrika,ISLL,JAA,1,0,1,1,0,triangulerad
AJP278,Interkulturella litteraturstudier: Teori och metod,ISLL,JAA,1,0,1,1,0,triangulerad
AJP279,Interkulturella litteraturstudier: Översättningsprojekt,ISLL,JAA,1,0,1,1,0,triangulerad
AJP27A,Interkulturella litteraturstudier: Skönlitteratur på originalspråk,ISLL,JAA,1,0,1,1,0,triangulerad
AJP27B,Interkulturella litteraturstudier: Akademisk läsning,ISLL,JAA,1,0,1,1,0,triangulerad
AJP27C,,,,0,0,0,0,1,enbart_nedlagd
AJP27D,,,,0,0,0,0,1,enbart_nedlagd
AJP27X,,,,0,0,0,0,1,enbart_nedlagd
AJP287,Japanska: Interkulturell kommunikation,ISLL,JAA,1,0,1,1,0,triangulerad
AJP2A9,Interkulturella litteraturstudier: Masterexamensarbete,ISLL,JAA,1,0,1,1,0,triangulerad
AJP2AG,Japanska: Översättningens praktik,ISLL,JAA,1,0,1,1,0,triangulerad
AJP2AH,Klassisk japanska,ISLL,JAA,1,0,1,1,0,triangulerad
AKG27R,Management och tolkning av kulturarv,IKS,KGA,1,0,1,1,0,triangulerad
AKI25K,"Examensarbete i kinesiska för ämneslärarexamen, inriktning gymnasieskolan",ISLL,KIA,1,0,1,1,0,triangulerad
AKI28Y,Kinesiska: Avancerad kurs i kinesiska språket,ISLL,KIA,1,0,1,1,0,triangulerad
AKI28Z,Kinesiska: Praktik för undervisning i högre utbildning I,ISLL,KIA,1,0,1,1,0,triangulerad
AKI292,Kinesiska: Praktik för undervisning i högre utbildning II,ISLL,KIA,1,0,1,1,0,triangulerad
AKI2BN,"Avancerad kinesisk konversation: kultur, samhälle och argumentation",ISLL,KIA,1,0,1,1,0,triangulerad
AMC22B,,,,0,0,0,0,1,enbart_nedlagd
AMC22C,"Personcentrerad vård vid astma/KOL/allergi, del 2",IHV,MCA,1,0,1,1,0,triangulerad
AMC23X,,,,0,0,0,0,1,enbart_nedlagd
AMC243,Smärta i den kliniska vardagen,IHV,MCA,1,0,1,1,0,triangulerad
AMC24R,"Personcentrerad vård vid astma/KOL/allergi, del I",IHV,MCA,1,0,1,1,0,triangulerad
AMC25W,"Personcentrerad vård vid astma/KOL/allergi, del 2",IHV,MCA,1,0,1,1,0,triangulerad
AMC265,Farmakologisk behandling vid diabetes,IHV,MCA,1,0,1,1,0,triangulerad
AMC26G,,,,0,0,0,0,1,enbart_nedlagd
AMC26L,,,,0,0,0,0,1,enbart_nedlagd
AMC274,,,,0,0,0,0,1,enbart_nedlagd
AMC27M,,,,0,0,0,0,1,enbart_nedlagd
AMC27N,,,,0,0,0,0,1,enbart_nedlagd
AMC283,,,,0,0,0,0,1,enbart_nedlagd
AMC288,Fysisk aktivitet och träning som prevention och behandling,IHV,MCA,1,0,1,1,0,triangulerad
AMC28N,Evidensbaserat arbetssätt och forskningsmetodik inom fysioterapi,IHV,MCA,1,0,1,1,0,triangulerad
AMC29F,Examensarbete för magisterexamen i fysioterapi,IHV,MCA,1,0,1,1,0,triangulerad
AMC29Y,Förskrivningsrätt för vissa läkemedel och förbrukningsartiklar,IHV,MCA,1,0,1,1,0,triangulerad
AMC2A7,Kardiologi: Arytmi,IHV,MCA,1,0,1,1,0,triangulerad
AMC2AE,Fysioterapi med fokus på smärta och hållbar utveckling,IHV,MCA,1,0,1,1,0,triangulerad
AMC2BG,Förskrivningsrätt för vissa läkemedel och förbrukningsartiklar,IHV,MCA,1,0,1,1,0,triangulerad
AMD238,Examensarbete i matematik för ämneslärarexamen inriktning gymnasieskolan,IIT,MDI,1,0,1,1,0,triangulerad
AMD239,Examensarbete i matematik för ämneslärarexamen inriktning grundskolans årskurs 7-9,IIT,MDI,1,0,1,1,0,triangulerad
AMI22T,Statistisk inlärning,IIT,XYZ,1,0,1,1,0,triangulerad
AMI22Z,Riskanalys,IIT,XYZ,1,0,1,1,0,triangulerad
AMI23A,Dataanalys och visualisering,IIT,XYZ,1,0,1,1,0,triangulerad
AMI23B,,,,0,0,0,0,1,enbart_nedlagd
AMI23C,Komplexitet och operationsanalytiska metoder,IIT,XYZ,1,0,1,1,0,triangulerad
AMI23G,Maskininlärning,IIT,XYZ,1,0,1,1,0,triangulerad
AMI23J,Arbetsplatsförlagd utbildning i Data Science,IIT,XYZ,1,0,1,1,0,triangulerad
AMI23K,Datainsamling och datakvalitet,IIT,XYZ,1,0,1,1,0,triangulerad
AMI23L,Rumslig data och GIS,IIT,XYZ,1,0,1,1,0,triangulerad
AMI27V,Datadrivet ledarskap,IIT,XYZ,1,0,1,1,0,triangulerad
AMI295,Business Intelligence,IIT,XYZ,1,0,1,1,0,triangulerad
AMP23S,,,,0,0,0,0,1,enbart_nedlagd
AMP23T,,,,0,0,0,0,1,enbart_nedlagd
AMP23U,,,,0,0,0,0,1,enbart_nedlagd
AMP23Y,,,,0,0,0,0,1,enbart_nedlagd
AMP25R,,,,0,0,0,0,1,enbart_nedlagd
AMP26F,,,,0,0,0,0,1,enbart_nedlagd
AMT23D,,,,0,0,0,0,1,enbart_nedlagd
AMT23M,,,,0,0,0,0,1,enbart_nedlagd
AMT25F,,,,0,0,0,0,1,enbart_nedlagd
AMT25G,,,,0,0,0,0,1,enbart_nedlagd
ANA235,Ledarskapets ekonomi,IKS,NAA,1,0,1,1,0,triangulerad
APE269,,,,0,0,0,0,1,enbart_nedlagd
APE26A,,,,0,0,1,0,1,blomma_historik_arkiverad
APE277,,,,0,0,0,0,1,enbart_nedlagd
APE2BD,,,,0,0,0,0,1,enbart_nedlagd
APE2BE,,,,0,0,0,0,1,enbart_nedlagd
APG224,,,,0,0,0,0,1,enbart_nedlagd
APG22X,Tematisk fördjupning inom ett utbildningsvetenskapligt område,IKS,PGA,1,0,1,1,0,triangulerad
APG242,,,,0,0,0,0,1,enbart_nedlagd
APG244,Vetenskapsteori och utbildningsvetenskaplig forskning för grundlärare F-3,IKS,PGA,1,0,1,1,0,triangulerad
APG245,Vetenskapsteori och utbildningsvetenskaplig forskning för grundlärare 4-6,IKS,PGA,1,0,1,1,0,triangulerad
APG246,Examensarbete för grundlärarexamen inriktning F-3 del 2,IKS,PGA,1,0,1,1,0,triangulerad
APG247,Examensarbete för grundlärarexamen inriktning 4-6 del 2,IKS,PGA,1,0,1,1,0,triangulerad
APG248,,,,0,0,0,0,1,enbart_nedlagd
APG249,,,,0,0,0,0,1,enbart_nedlagd
APG24C,,,,0,0,0,0,1,enbart_nedlagd
APG24D,Bedömning och betygssättning för ämneslärare,IKS,PGA,1,0,1,1,0,triangulerad
APG24E,Vetenskapsteori och utbildningsvetenskaplig forskning för ämneslärare,IKS,PGA,1,0,1,1,0,triangulerad
APG24G,,,,0,0,0,0,1,enbart_nedlagd
APG24H,,,,0,0,0,0,1,enbart_nedlagd
APG24S,Utvärdering och utvecklingsarbete i grundskolans åk 7-9 och gymnasieskolan,IKS,PGA,1,0,1,1,0,triangulerad
APG25N,Vetenskap och beprövad erfarenhet i undervisning och handledning,IKS,PGA,1,0,1,1,0,triangulerad
APG26D,Didaktisk analys för fortsatt professionsutveckling,IKS,PGA,1,0,1,1,0,triangulerad
APG26V,,,,0,0,0,0,1,enbart_nedlagd
APG26Y,,,,0,0,0,0,1,enbart_nedlagd
APG275,"Utvärdering och utvecklingsarbete i förskoleklass och grundskolans åk 1-3 (varav 7,5 hp VFU)",IKS,PGA,1,0,1,1,0,triangulerad
APG276,"Utvärdering och utvecklingsarbete i grundskolans åk 4-6, (varav 7,5 hp VFU)",IKS,PGA,1,0,1,1,0,triangulerad
APG27T,Rektors ledning och organisering för utveckling av barns och elevers lärandemiljö,IKS,PGA,1,0,1,1,0,triangulerad
APG27U,"Utvärdering och verksamhetsutveckling i förskola och förskoleklass (varav 7,5 hp VFU)",IKS,PGA,1,0,1,1,0,triangulerad
APG27Y,,,,0,0,0,0,1,enbart_nedlagd
APG27Z,Professionellt lärarskap och skolutveckling - KPU (varav 10 hp VFU),IKS,PGA,1,0,1,1,0,triangulerad
APG282,Examensarbete för ämneslärare (avancerad nivå),IKS,PGA,1,0,1,1,0,triangulerad
APG28B,Verksamhetsförlagd utbildning för lärare (KPU),IKS,PGA,1,0,1,1,0,triangulerad
APG28M,Vetenskapsteori och utbildningsvetenskaplig forskning - VAL,IKS,PGA,1,0,1,1,0,triangulerad
APG28R,Verksamhetsförlagd utbildning i gymnasieskolan,IKS,PGA,1,0,1,1,0,triangulerad
APG28S,Verksamhetsförlagd utbildning i grundskolan årskurs 7-9,IKS,PGA,1,0,1,1,0,triangulerad
APG28W,,,,0,0,0,0,1,enbart_nedlagd
APG29G,Att vägleda kollegor och lärarstudenter för professionsutveckling,IKS,PGA,1,0,1,1,0,triangulerad
APG2AA,Lärarskicklighet - utveckling av lärarskicklighet i förskola och skola utifrån forskning,IKS,PGA,1,0,1,1,0,triangulerad
APG2AB,Bedömning och betygssättning för ämneslärare årskurs 7-9 - AIL,IKS,PGA,1,0,1,1,0,triangulerad
APG2AC,Rektors pedagogiska ledarskap med fokus på förskolans utbildningsuppdrag,IKS,PGA,1,0,1,1,0,triangulerad
APG2AJ,Verksamhetsförlagd utbildning för lärare - VAL,IKS,PGA,1,0,1,1,0,triangulerad
APG2BC,Professionellt lärarskap och skolutveckling - KPU (varav 10 hp VFU),IKS,PGA,1,0,1,1,0,triangulerad
APG2BF,"Att främja en professionsdriven verksamhetsutveckling i förskola, skola och fritidshem",IKS,PGA,1,0,1,1,0,triangulerad
APG2BK,Verksamhetsförlagd utbildning 3 - VAL,IKS,PGA,1,0,1,1,0,triangulerad
APG2C3,Vidareutveckling och analys av kvalitet i undervisning,IKS,PGA,1,0,1,1,0,triangulerad
APG2C6,"Specialpedagogik, pedagogisk dokumentation och bedömning för grundlärare F-3",IKS,PGA,1,0,1,1,0,triangulerad
APG2C7,"Specialpedagogik, pedagogisk dokumentation och bedömning för grundlärare 4-6",IKS,PGA,1,0,1,1,0,triangulerad
APG2CC,Mentorsutbildning för en kvalitativ introduktionsperiod,IKS,PGA,1,0,1,1,0,triangulerad
APG2CD,Perspektiv på pedagogisk praktik,IKS,PGA,1,0,1,1,0,triangulerad
APG2CL,Undervisningsskicklighet i teori och praktik (USP) Ämneslärare,IKS,PGA,1,0,1,1,0,triangulerad
APG2CM,Undervisningsskicklighet i teori och praktik (USP) F-6,IKS,PGA,1,0,1,1,0,triangulerad
AR0001,,,,0,0,0,0,1,enbart_nedlagd
AR1001,,,,0,0,0,0,1,enbart_nedlagd
AR1002,,,,0,0,0,0,1,enbart_nedlagd
AR1003,Den moderna arabiska novellen,ISLL,ARA,1,0,1,1,0,triangulerad
AR1004,Arabiska dialekter med inriktning på den Syriska,ISLL,ARA,1,0,1,1,0,triangulerad
AR1005,,,,0,0,0,0,1,enbart_nedlagd
AR1006,,,,0,0,0,0,1,enbart_nedlagd
AR1007,Arabiska dialekter med inriktning på den syriska II,ISLL,ARA,1,0,1,1,0,triangulerad
AR1008,,,,0,0,0,0,1,enbart_nedlagd
AR1009,Arabiska dialekter: Syriska III,ISLL,ARA,1,0,1,1,0,triangulerad
AR1010,,,,0,0,0,0,1,enbart_nedlagd
AR1011,,,,0,0,0,0,1,enbart_nedlagd
AR1012,Arabiska dialekter: Syriska IV,ISLL,ARA,1,0,1,1,0,triangulerad
AR1013,,,,0,0,0,0,1,enbart_nedlagd
AR1014,,,,0,0,0,0,1,enbart_nedlagd
AR1015,,,,0,0,0,0,1,enbart_nedlagd
AR1016,,,,0,0,0,0,1,enbart_nedlagd
AR1017,,,,0,0,0,0,1,enbart_nedlagd
AR1018,Arabiska för nybörjare I,ISLL,ARA,1,0,1,1,0,triangulerad
AR1019,,,,0,0,0,0,1,enbart_nedlagd
AR1020,,,,0,0,0,0,1,enbart_nedlagd
AR1021,,,,0,0,0,0,1,enbart_nedlagd
AR1022,,,,0,0,0,0,1,enbart_nedlagd
AR1023,,,,0,0,0,0,1,enbart_nedlagd
AR1024,,,,0,0,0,0,1,enbart_nedlagd
AR1025,Arabiska VI - muntlig kommunikation,ISLL,ARA,1,0,1,1,0,triangulerad
AR1026,,,,0,0,0,0,1,enbart_nedlagd
AR1027,,,,0,0,0,0,1,enbart_nedlagd
AR2001,Arabiska VIII,ISLL,ARA,1,0,1,1,0,triangulerad
AR2002,,,,0,0,0,0,1,enbart_nedlagd
AR2003,,,,0,0,0,0,1,enbart_nedlagd
AR2004,,,,0,0,0,0,1,enbart_nedlagd
AR2005,,,,0,0,0,0,1,enbart_nedlagd
AR2006,Arabiska: Avancerad grammatik II,ISLL,ARA,1,0,1,1,0,triangulerad
AR2007,Det egna jaget och den andre – gestaltning i arabisk litteratur,ISLL,ARA,1,0,1,1,0,triangulerad
AR2008,,,,0,0,0,0,1,enbart_nedlagd
AR2009,Modern arabisk litteratur och sökandet efter frihet,ISLL,ARA,1,0,1,1,0,triangulerad
AR2010,Arabiska: Avancerad grammatik,ISLL,ARA,1,0,1,1,0,triangulerad
AR2011,Den arabiska akademiska kanon,ISLL,ARA,1,0,1,1,0,triangulerad
AR2012,Arabiska: Kandidatexamensarbete,ISLL,ARA,1,0,1,1,0,triangulerad
ARK227,Mänskliga rättigheter och demokrati i Afrika söder om Sahara,IKS,RKA,1,0,1,1,0,triangulerad
ARK228,,,,0,0,0,0,1,enbart_nedlagd
ARK25B,"Examensarbete i religionsvetenskap  för ämneslärarexamen, inriktning grundskolans årskurs 7-9",IKS,RKA,1,0,1,1,0,triangulerad
ARK25C,"Examensarbete i religionsvetenskap för ämneslärarexamen, inriktning gymnasieskolan",IKS,RKA,1,0,1,1,0,triangulerad
ARK262,Religion och våld i samtiden,IKS,RKA,1,0,1,1,0,triangulerad
ARK268,,,,0,0,0,0,1,enbart_nedlagd
ARK26T,Kabbala och judisk mystik från antiken till modern tid,IKS,RKA,1,0,1,1,0,triangulerad
ARK27Q,Kvinnor och gudinnor på gränsen till den äldsta förhistorien,IKS,RKA,1,0,1,1,0,triangulerad
ARK29H,Religionsvetenskaplig litteraturkurs,IKS,RKA,1,0,1,1,0,triangulerad
ARK29J,"Religionsvetenskaplig vetenskapshistoria, teori och metod",IKS,RKA,1,0,1,1,0,triangulerad
ARK29K,Upplevelser av osynlig närvaro,IKS,RKA,1,0,1,1,0,triangulerad
ARK29L,Religionssociologiska perspektiv på barn och unga i slutna religiösa miljöer,IKS,RKA,1,0,1,1,0,triangulerad
ARK29M,"Examensarbete, magisterexamen i religionsvetenskap",IKS,RKA,1,0,1,1,0,triangulerad
ARY23F,Ryska VI: Stalintidens ideologi och estetik,ISLL,RYA,1,0,1,1,0,triangulerad
ARY25M,"Ryska VI: Det virtuella Ryssland: politik, språk och nya medier",ISLL,RYA,1,0,1,1,0,triangulerad
AS2001,Afrikanska studier: Utbildning och förändring i afrikanska samhällen,IKS,UVX,1,0,1,1,0,triangulerad
AS2002,Afrikanska studier: Afrikanska samhällen i förändring,IKS,UVX,1,0,1,1,0,triangulerad
