kurskod,kursnamn,institution,amne,i_dalarna_excel_kurser,i_dalarna_excel_forskar,i_blomma_json,i_vault_aktiva,i_vault_nedlagda,kategori
IKA049,,,,0,0,0,0,1,enbart_nedlagd
IKA050,,,,0,0,0,0,1,enbart_nedlagd
IKA051,,,,0,0,0,0,1,enbart_nedlagd
IKA052,,,,0,0,0,0,1,enbart_nedlagd
IKA053,,,,0,0,0,0,1,enbart_nedlagd
IKA054,,,,0,0,0,0,1,enbart_nedlagd
IKA055,,,,0,0,0,0,1,enbart_nedlagd
IKA056,,,,0,0,0,0,1,enbart_nedlagd
IKA057,,,,0,0,0,0,1,enbart_nedlagd
IKA058,,,,0,0,0,0,1,enbart_nedlagd
IKA059,,,,0,0,0,0,1,enbart_nedlagd
IKA060,,,,0,0,0,0,1,enbart_nedlagd
IKA061,,,,0,0,0,0,1,enbart_nedlagd
IKA062,,,,0,0,0,0,1,enbart_nedlagd
IKA063,,,,0,0,0,0,1,enbart_nedlagd
IKA064,,,,0,0,0,0,1,enbart_nedlagd
IKA065,,,,0,0,0,0,1,enbart_nedlagd
IKA066,,,,0,0,0,0,1,enbart_nedlagd
IKA067,,,,0,0,0,0,1,enbart_nedlagd
IKA068,,,,0,0,0,0,1,enbart_nedlagd
IKA069,,,,0,0,0,0,1,enbart_nedlagd
IKB008,,,,0,0,0,0,1,enbart_nedlagd
IKB015,,,,0,0,0,0,1,enbart_nedlagd
IKB018,,,,0,0,0,0,1,enbart_nedlagd
IKB019,,,,0,0,0,0,1,enbart_nedlagd
IKB020,,,,0,0,0,0,1,enbart_nedlagd
IKB021,,,,0,0,0,0,1,enbart_nedlagd
IKB022,,,,0,0,0,0,1,enbart_nedlagd
IKB023,,,,0,0,0,0,1,enbart_nedlagd
IKB024,,,,0,0,0,0,1,enbart_nedlagd
IKB025,,,,0,0,0,0,1,enbart_nedlagd
IKB026,,,,0,0,0,0,1,enbart_nedlagd
IKB027,,,,0,0,0,0,1,enbart_nedlagd
IKB028,,,,0,0,0,0,1,enbart_nedlagd
IKB029,,,,0,0,0,0,1,enbart_nedlagd
IKC008,,,,0,0,0,0,1,enbart_nedlagd
IKC009,,,,0,0,0,0,1,enbart_nedlagd
IKC011,,,,0,0,0,0,1,enbart_nedlagd
IKC012,,,,0,0,0,0,1,enbart_nedlagd
IKC013,,,,0,0,0,0,1,enbart_nedlagd
IKC014,,,,0,0,0,0,1,enbart_nedlagd
IKC015,,,,0,0,0,0,1,enbart_nedlagd
IKC016,,,,0,0,0,0,1,enbart_nedlagd
IKC017,,,,0,0,0,0,1,enbart_nedlagd
IKC018,,,,0,0,0,0,1,enbart_nedlagd
IKC019,,,,0,0,0,0,1,enbart_nedlagd
IKD003,,,,0,0,0,0,1,enbart_nedlagd
IKD004,,,,0,0,0,0,1,enbart_nedlagd
IKD005,,,,0,0,0,0,1,enbart_nedlagd
IKD006,,,,0,0,0,0,1,enbart_nedlagd
IT0001,,,,0,0,0,0,1,enbart_nedlagd
IT0002,,,,0,0,0,0,1,enbart_nedlagd
IT0003,,,,0,0,0,0,1,enbart_nedlagd
IT0004,,,,0,0,0,0,1,enbart_nedlagd
IT0005,,,,0,0,0,0,1,enbart_nedlagd
IT0006,,,,0,0,0,0,1,enbart_nedlagd
IT1001,,,,0,0,0,0,1,enbart_nedlagd
IT1002,,,,0,0,0,0,1,enbart_nedlagd
IT1003,,,,0,0,0,0,1,enbart_nedlagd
IT1004,,,,0,0,0,0,1,enbart_nedlagd
IT1005,,,,0,0,0,0,1,enbart_nedlagd
IT1006,,,,0,0,0,0,1,enbart_nedlagd
IT1007,,,,0,0,0,0,1,enbart_nedlagd
IT1008,,,,0,0,0,0,1,enbart_nedlagd
IT1009,,,,0,0,0,0,1,enbart_nedlagd
