Utbildningsområde per kurs (Ladok);;;;;;
Uppdaterad tisdag 3 mars 2026;;;;;;
Kurskod;Kursnamn;HP;Utbildningsområde;UtbOmrKod;Andel (%);Giltig fr.o.m.
AMI23J;Arbetsplatsförlagd utbildning i Data Science;7,5;Naturvetenskapliga området;NA;100;HT2019
AMI23K;Datainsamling och datakvalitet;7,5;Naturvetenskapliga området;NA;100;HT2019
AMI23L;Rumslig data och GIS;7,5;Naturvetenskapliga området;NA;100;HT2019
AMI27V;Datadrivet ledarskap;7,5;Naturvetenskapliga området;NA;100;VT2022
AMI295;Business Intelligence;7,5;Naturvetenskapliga området;NA;100;HT2023
ANA235;Ledarskapets ekonomi;7,5;Samhällsvetenskapliga området;SA;100;HT2019
APE26A;Behörighetsgivande högskolepedagogisk utbildning 2;7,5;Samhällsvetenskapliga området;SA;100;VT2020
APG22X;Tematisk fördjupning inom ett utbildningsvetenskapligt område;7,5;Undervisningsområdet;LU;100;VT2017
APG244;Vetenskapsteori och utbildningsvetenskaplig forskning för grundlärare F-3;7,5;Undervisningsområdet;LU;100;VT2020
APG245;Vetenskapsteori och utbildningsvetenskaplig forskning för grundlärare 4-6;7,5;Undervisningsområdet;LU;100;VT2020
APG246;Examensarbete för grundlärarexamen inriktning F-3 del 2;15;Undervisningsområdet;LU;100;VT2020
APG247;Examensarbete för grundlärarexamen inriktning 4-6 del 2;15;Undervisningsområdet;LU;100;VT2020
APG24D;Bedömning och betygssättning för ämneslärare;7,5;Undervisningsområdet;LU;100;VT2020
APG24E;Vetenskapsteori och utbildningsvetenskaplig forskning för ämneslärare;7,5;Undervisningsområdet;LU;100;VT2020
APG24S;Utvärdering och utvecklingsarbete i grundskolans åk 7-9 och gymnasieskolan;7,5;Undervisningsområdet;LU;100;VT2020
APG25N;Vetenskap och beprövad erfarenhet i undervisning och handledning;7,5;Undervisningsområdet;LU;100;VT2020
APG26D;Didaktisk analys för fortsatt professionsutveckling;7,5;Undervisningsområdet;LU;100;HT2020
APG275;Utvärdering och utvecklingsarbete i förskoleklass och grundskolans åk 1-3 (varav 7,5 hp VFU);15;Undervisningsområdet;LU;50;HT2021
APG275;Utvärdering och utvecklingsarbete i förskoleklass och grundskolans åk 1-3 (varav 7,5 hp VFU);15;Verksamhetsförlagd utbildning;VU;50;HT2021
APG276;Utvärdering och utvecklingsarbete i grundskolans åk 4-6, (varav 7,5 hp VFU);15;Undervisningsområdet;LU;50;HT2021
APG276;Utvärdering och utvecklingsarbete i grundskolans åk 4-6, (varav 7,5 hp VFU);15;Verksamhetsförlagd utbildning;VU;50;HT2021
APG27T;Rektors ledning och organisering för utveckling av barns och elevers lärandemiljö;7,5;Undervisningsområdet;LU;100;VT2022
APG27U;Utvärdering och verksamhetsutveckling i förskola och förskoleklass (varav 7,5 hp VFU);15;Undervisningsområdet;LU;50;VT2022
APG27U;Utvärdering och verksamhetsutveckling i förskola och förskoleklass (varav 7,5 hp VFU);15;Verksamhetsförlagd utbildning;VU;50;VT2022
APG27Z;Professionellt lärarskap och skolutveckling - KPU (varav 10 hp VFU);15;Undervisningsområdet;LU;33;HT2022
APG27Z;Professionellt lärarskap och skolutveckling - KPU (varav 10 hp VFU);15;Verksamhetsförlagd utbildning;VU;67;HT2022
APG282;Examensarbete för ämneslärare (avancerad nivå);15;Undervisningsområdet;LU;100;HT2022
APG28B;Verksamhetsförlagd utbildning för lärare (KPU);10;Verksamhetsförlagd utbildning;VU;100;HT2022
APG28M;Vetenskapsteori och utbildningsvetenskaplig forskning - VAL;7,5;Undervisningsområdet;LU;100;HT2022
APG28R;Verksamhetsförlagd utbildning i gymnasieskolan;15;Verksamhetsförlagd utbildning;VU;100;VT2023
APG28S;Verksamhetsförlagd utbildning i grundskolan årskurs 7-9;15;Verksamhetsförlagd utbildning;VU;100;VT2023
APG29G;Att vägleda kollegor och lärarstudenter för professionsutveckling;7,5;Undervisningsområdet;LU;100;HT2023
